Feature ID,Surface,Feature / capability,User story,Expected behavior based on code,Code anchors,Initial test approach,Initial test command or route,Status,Test result,Errors,Fix status,Retest result,Notes
F001,Distribution,Install prebuilt release,"As a new user, I want a short install path, so I can try Loom without building it.","README provides release archive and Homebrew paths and the shipped archive contains the binary and first-party skill.","README.md; .github/workflows/release.yml; tests/release_archive.rs",Release packaging tests and README command review,"cargo test --test release_archive; README Quick Start",Not Tested,,,,,
F002,CLI,First-run init,"As a new user, I want one safe initialization command, so Loom discovers my existing agent skill directories.","loom init initializes the default registry and scans supported agent directories without duplicating targets.","src/cli.rs; src/commands/workspace_cmds.rs; tests/workspace_init.rs",Focused integration tests plus isolated-root smoke,"cargo test --test workspace_init; loom --root <tmp> init",Not Tested,,,,,
F003,CLI,Help and discovery,"As a new user, I want clear command help, so I can find the right workflow without reading source code.","Top-level and nested help describe the supported command surface and required safety gates.","src/cli.rs; src/cli/; tests/cli_surface.rs",Compile and inspect help plus contract tests,"cargo run --locked -- --help; cargo test --test cli_surface",Not Tested,,,,,
F004,CLI,Machine-readable output,"As an automation author, I want stable JSON envelopes, so agents can consume success and error results reliably.","Global --json and --pretty produce stable envelopes with request correlation and structured errors.","src/envelope.rs; src/error_actions.rs; tests/cli_surface.rs",Envelope integration tests,"cargo test --test cli_surface --test reliability",Not Tested,,,,,
F005,Workspace,Status and doctor,"As an operator, I want registry health and status summaries, so I can diagnose state before mutating it.","workspace status reports registry Git and backlog state and doctor checks integrity history and projections.","src/commands/workspace_cmds.rs; tests/status.rs; tests/doctor.rs",Focused integration tests,"cargo test --test status --test doctor",Not Tested,,,,,
F006,Workspace,Workspace bindings,"As a multi-project user, I want workspace-to-target bindings, so the correct skill directory is selected automatically.","Bindings can be added listed shown and removed with deterministic matcher behavior.","src/cli.rs; src/commands/workspace_cmds.rs; tests/workflow_cli.rs",Binding lifecycle tests,"cargo test --test workflow_cli",Not Tested,,,,,
F007,Workspace,Remote configuration,"As a team user, I want to configure and inspect a Git remote, so the registry can be synchronized safely.","Remote set show and status expose the configured remote without hiding divergence or missing configuration.","src/cli.rs; src/commands/workspace_cmds.rs; tests/workflow_cli.rs",Remote command tests,"cargo test --test workflow_cli",Not Tested,,,,,
F008,Targets,Target lifecycle,"As a user with several agents, I want to add inspect and remove target directories, so Loom manages each projection boundary explicitly.","Targets support agent kind path ownership multi-directory listing details and guarded removal.","src/cli.rs; src/commands/target_cmds.rs; tests/workflow_cli.rs",Target lifecycle tests,"cargo test --test workflow_cli",Not Tested,,,,,
F009,Skills,Add list and inspect,"As a skill user, I want to import and inspect a skill, so I can understand exactly what Loom will manage.","Local Git and GitHub sources can be added and normalized then listed and inspected with source and projection metadata.","src/commands/skill_cmds.rs; src/cli/catalog.rs; tests/skill_inspect.rs; tests/single_skill_lifecycle_e2e.rs",Lifecycle and inspect tests,"cargo test --test skill_inspect --test single_skill_lifecycle_e2e",Not Tested,,,,,
F010,Skills,Search and recommendation,"As a user with many skills, I want task-oriented search with explanations, so I can choose the right skill quickly.","Search filters by agent profile status trust workspace and activation and can explain task or semantic ranking.","src/cli/discovery.rs; src/commands/discovery_cmds.rs; tests/skill_recommend_cli.rs",Recommendation and inventory tests,"cargo test --test skill_recommend_cli --test skill_inventory_cli",Not Tested,,,,,
F011,Authoring,Create a new skill,"As a skill author, I want guided templates and dry-run support, so I can start with a valid structure.","skill author new creates supported templates validates names and offers a non-mutating preview.","src/commands/skill_new.rs; src/cli/skill_new_args.rs; tests/skill_new_cli.rs",Authoring command tests,"cargo test --test skill_new_cli --test skill_authoring",Not Tested,,,,,
F012,Authoring,Draft extract and rewrite,"As a skill author, I want to derive improvements from sessions diffs and instructions, so repetitive work becomes reusable guidance.","Authoring commands create reviewable patches through explicit providers and require apply gates before mutation.","src/commands/skill_authoring.rs; src/commands/skill_authoring_patch.rs; tests/skill_authoring.rs",Authoring and patch tests,"cargo test --test skill_authoring",Not Tested,,,,,
F013,Quality,Lint and compatibility,"As a skill author, I want actionable lint findings, so a skill works across supported agents.","skill lint reports frontmatter structure and compatibility defects and only changes files with explicit --fix.","src/commands/skill_lint/; tests/skill_lint.rs",Lint fixture tests,"cargo test --test skill_lint",Not Tested,,,,,
F014,Safety,Scan trust and quarantine,"As a security-conscious user, I want install and activation safety checks, so risky skills cannot silently become active.","Scan modes classify risk trust is explicit and quarantine blocks unsafe activation until reversed.","src/commands/skill_safety.rs; tests/skill_safety.rs",Safety policy tests,"cargo test --test skill_safety",Not Tested,,,,,
F015,Dependencies,Dependency discovery,"As a user, I want declared runtime dependencies surfaced, so I know what a skill needs before activation.","skill deps reports files tools and dependency declarations without executing skill code.","src/cli/deps.rs; src/commands/skill_deps.rs; tests/skill_deps.rs",Dependency fixture tests,"cargo test --test skill_deps",Not Tested,,,,,
F016,Compilation,Compile and verify,"As a multi-agent user, I want compiled agent-specific artifacts, so one source skill can project faithfully to different runtimes.","Compile supports dry-run list and verification and preserves source-to-artifact traceability.","src/commands/skill_compile.rs; tests/skill_compile.rs",Compile integration tests,"cargo test --test skill_compile",Not Tested,,,,,
F017,Activation,Activate and deactivate,"As a user, I want explicit project or user activation, so skills are visible only where intended.","Activation resolves agent scope profile target and projection method and supports dry-run and reversible deactivation.","src/commands/skill_activation.rs; tests/skill_activation.rs; tests/skill_compiled_activation.rs",Activation integration tests,"cargo test --test skill_activation --test skill_compiled_activation",Not Tested,,,,,
F018,Visibility,Diagnose agent visibility,"As a Codex user, I want visibility diagnostics, so an installed skill is actually discoverable by the runtime.","Visibility and diagnose commands distinguish source presence projection drift and runtime-visible state.","src/commands/skill_visibility.rs; tests/codex_visibility.rs; tests/skill_diagnose.rs",Visibility tests,"cargo test --test codex_visibility --test skill_diagnose",Not Tested,,,,,
F019,Projection,Project and use flow,"As a user, I want one human-friendly use flow, so selecting and projecting a skill does not require several low-level commands.","use plans or applies a guarded skill projection and project supports binding target method and dry-run selection.","src/commands/use_flow.rs; src/commands/skill_cmds.rs; tests/use_flow_cli.rs; tests/project.rs",Use and project integration tests,"cargo test --test use_flow_cli --test project",Not Tested,,,,,
F020,Versioning,Commit diff history release and rollback,"As a skill maintainer, I want Git-backed version workflows, so every change is reviewable and reversible.","Skill changes can be committed compared inspected released and rolled back with preflight and dry-run gates.","src/commands/version_cmds.rs; tests/skill_commit.rs; tests/skill_history_cli.rs; tests/rollback_preview.rs",Version lifecycle tests,"cargo test --test skill_commit --test skill_history_cli --test rollback_preview",Not Tested,,,,,
F021,Provenance,Verify and refresh provenance,"As a user installing third-party skills, I want pinned provenance, so updates are intentional and auditable.","Provenance inspection verification outdated planning and refresh preserve source ref and content identity.","src/commands/skill_provenance.rs; tests/skill_provenance.rs",Provenance tests,"cargo test --test skill_provenance",Not Tested,,,,,
F022,Evaluation,Offline and runner evals,"As a skill author, I want repeatable trigger and task evaluation, so quality changes are measurable.","Eval supports offline fixtures explicit runners trigger precision repeated runs and source comparisons.","src/commands/skill_eval.rs; src/cli/eval.rs; tests/skill_eval.rs",Evaluation tests,"cargo test --test skill_eval",Not Tested,,,,,
F023,Improvement,Improve and regression,"As a maintainer, I want evidence-backed improvement and regression checks, so edits do not silently reduce skill quality.","Improve produces reviewable recommendations and regression compares a baseline against another ref or working tree.","src/commands/skill_improve.rs; tests/skill_recommend_evidence.rs",Evidence and improvement tests,"cargo test --test skill_recommend_evidence",Not Tested,,,,,
F024,Telemetry,Private usage analytics,"As a local user, I want opt-in private analytics, so I can understand skill value without leaking prompts.","Telemetry is disabled by default supports local-only ingestion reports redacted export and confirmed purge.","src/commands/telemetry.rs; tests/telemetry.rs; tests/telemetry_usage.rs",Telemetry integration tests,"cargo test --test telemetry --test telemetry_usage",Not Tested,,,,,
F025,Observed skills,Monitor and import,"As an existing agent user, I want Loom to adopt current skill directories, so migration does not require starting over.","Observed targets can be imported or monitored idempotently without deleting registry skills when sources disappear.","src/commands/monitor_observed.rs; tests/monitor_observed.rs; tests/import_observed.rs",Observed-target tests,"cargo test --test monitor_observed --test import_observed",Not Tested,,,,,
